stcov,estmethod,beta,est,se,z,pvalue
productsum,reml,beta0,79.14884774776613,7.308494320386679,10.82970640436627,2.489522496601166e-27
productsum,reml,beta1,-0.012303367301615636,0.001556448208401415,-7.904771411733696,2.6842571520277694e-15
productsum,reml,beta2,0.3078773655345574,0.07483622520223707,4.114015167154022,3.88835870073978e-5
productsum,reml,beta3,-0.1481815851450909,0.11935889959024801,-1.2414791494709607,0.2144287960094353
productsum,svwls,beta0,76.22577789717015,4.540567103009931,16.787721922805694,3.001465638813783e-63
productsum,svwls,beta1,-0.006212439531330837,0.0016664341621675704,-3.7279837825997095,1.930177953926072e-4
productsum,svwls,beta2,0.3176891646130976,0.06974109222122325,4.555265116946649,5.2319548685711105e-6
productsum,svwls,beta3,-0.16497027727142477,0.12892998207793305,-1.2795338571574981,0.20070912486314982
sum_with_error,reml,beta0,78.19216225859803,10.788977202724903,7.247411945485392,4.248104448467377e-13
sum_with_error,reml,beta1,-0.012616473698464472,0.001547233698508879,-8.154213361965546,3.5145992125796134e-16
sum_with_error,reml,beta2,0.31809980016415773,0.13131613156017935,2.4223969773156124,0.015418496930378762
sum_with_error,reml,beta3,-0.2005666138124804,0.12382259046294858,-1.6197901615739168,0.10527736041405031
sum_with_error,svwls,beta0,73.44167508886864,1.7455566997974843,42.07349729595675,0
sum_with_error,svwls,beta1,-0.002876696989579133,0.0013854234509919324,-2.0764026966047684,0.03785672206604722
sum_with_error,svwls,beta2,0.36212429892055603,0.04852935324249889,7.461964248957491,8.52420175592107e-14
sum_with_error,svwls,beta3,-0.21159166974792715,0.13059352414556627,-1.620230950441893,0.10518267522748422
product,reml,beta0,76.2465622589976,4.367582629929778,17.45738288647409,3.0248724463405063e-68
product,reml,beta1,-0.007153760456975834,0.001145812139673058,-6.243397333019235,4.2816739008329764e-10
product,reml,beta2,0.32025893044453874,0.15821874320608037,2.024152916114373,0.0429544203990466
product,reml,beta3,-0.1495243453967667,0.12300463846169611,-1.2155992429775637,0.22413762268109452
product,svwls,beta0,73.0367138825067,1.5426733645081931,47.34425028838877,0
product,svwls,beta1,-0.00290716706304432,0.0012842316879001512,-2.263740328505546,0.023590090527912604
product,svwls,beta2,0.3573151921527948,0.0406708446908724,8.785536540208264,1.5561995091406325e-18
product,svwls,beta3,-0.23763426623482578,0.14277071937381422,-1.664446794672456,0.09602317523034339
ind,ols,beta0,74.00727049007982,0.5513462933176415,134.2301043591904,0
ind,ols,beta1,-0.0032947218070647237,3.336268539457909e-4,-9.875469459661854,5.318333842378736e-23
ind,ols,beta2,0.3582256896790608,0.025732177610677247,13.921312649824845,4.701886861345996e-44
ind,ols,beta3,-0.9168339882123374,0.22315209725967328,-4.108560929837258,3.981321732959854e-5
