stcov,estmethod,quantity,result
productsum,reml,value,5378.75516372124
productsum,reml,counts,80
productsum,reml,convergence,0
productsum,reml,stemp_seconds,0
productsum,reml,optim_seconds,20.53125500679016
productsum,reml_chol,value,5378.755163721242
productsum,reml_chol,counts,80
productsum,reml_chol,convergence,0
productsum,reml_chol,stemp_seconds,0
productsum,reml_chol,optim_seconds,62.58114004135132
productsum,svwls,value,7572.184454100371
productsum,svwls,counts,2399
productsum,svwls,convergence,0
productsum,svwls,stemp_seconds,0.2232050895690918
productsum,svwls,optim_seconds,0.4627349376678467
sum_with_error,reml,value,5503.2861693361565
sum_with_error,reml,counts,95
sum_with_error,reml,convergence,0
sum_with_error,reml,stemp_seconds,0
sum_with_error,reml,optim_seconds,11.716305017471313
sum_with_error,reml_chol,value,5503.286169336148
sum_with_error,reml_chol,counts,95
sum_with_error,reml_chol,convergence,0
sum_with_error,reml_chol,stemp_seconds,0
sum_with_error,reml_chol,optim_seconds,84.68755602836609
sum_with_error,svwls,value,7963.752768144544
sum_with_error,svwls,counts,848
sum_with_error,svwls,convergence,0
sum_with_error,svwls,stemp_seconds,0.2232050895690918
sum_with_error,svwls,optim_seconds,0.16090703010559082
product,reml,value,5485.715081537718
product,reml,counts,179
product,reml,convergence,0
product,reml,stemp_seconds,0
product,reml,optim_seconds,13.989979028701782
product,reml_chol,value,5485.715081537718
product,reml_chol,counts,179
product,reml_chol,convergence,0
product,reml_chol,stemp_seconds,0
product,reml_chol,optim_seconds,152.85817313194275
product,svwls,value,8250.696924085
product,svwls,counts,332
product,svwls,convergence,0
product,svwls,stemp_seconds,0.2232050895690918
product,svwls,optim_seconds,0.0799551010131836
