n_st,algorithm,seconds
1023,cholesky,0.5403690640000001
1023,product,0.045182698
1023,productsum,0.150628691
1023,sum_with_error,0.061699223000000004
2024,cholesky,3.656257559
2024,product,0.19972209500000002
2024,productsum,0.865978229
2024,sum_with_error,0.240143286
3024,cholesky,11.898962435
3024,product,0.449704408
3024,productsum,1.974364313
3024,sum_with_error,0.5880311650000001
3968,cholesky,29.136764118000002
3968,product,0.766370011
3968,productsum,3.593408084
3968,sum_with_error,1.048408819
5040,cholesky,64.419001763
5040,product,1.246407435
5040,productsum,6.126506217
5040,sum_with_error,1.731823348
5928,cholesky,108.354251591
5928,product,1.697535123
5928,productsum,8.779017713
5928,sum_with_error,2.7337959350000003
7055,cholesky,181.2677671189
7055,product,2.3133606549900003
7055,productsum,13.147702093
7055,sum_with_error,3.80042858295
7920,cholesky,255.62705340204002
7920,product,3.19621492497
7920,productsum,17.59861232498
7920,sum_with_error,5.06718949709
9024,cholesky,376.694022812
9024,product,4.12418306
9024,productsum,24.51670012
9024,sum_with_error,6.91867271
9999,cholesky,514.376230642
9999,product,4.951021688
9999,productsum,30.995196521
9999,sum_with_error,8.699097403
11024,cholesky,684.5097891390001
11024,product,6.296622117
11024,productsum,39.136987286
11024,sum_with_error,11.073910772
12099,cholesky,901.97263991205
12099,product,7.411003943
12099,productsum,49.43988198
12099,sum_with_error,13.860374439000001
12995,cholesky,1115.61674506
12995,product,9.640529349000001
12995,productsum,60.01676164497
12995,sum_with_error,16.372923263
13923,cholesky,1367.6197347280001
13923,product,9.876255476
13923,productsum,70.815504516
13923,sum_with_error,19.580015962
14883,cholesky,1669.373443839
14883,product,11.375757579
14883,productsum,80.91923887
14883,sum_with_error,23.17041418
