n_st,algorithm,ratio
1023,psratio,3.587424549815679
1023,sweratio,8.758117812926105
1023,pratio,11.959645791847137
2024,psratio,4.222112561908298
2024,sweratio,15.225316601189508
2024,pratio,18.306725447677685
3024,psratio,6.026730911135548
3024,sweratio,20.23525816867206
3024,pratio,26.459519238245935
3968,psratio,8.108392767226825
3968,sweratio,27.79141456077355
3968,pratio,38.01918616306608
5040,psratio,10.514802316571288
5040,sweratio,37.197212889752535
5040,pratio,51.68374317584201
5928,psratio,12.342411774673678
5928,sweratio,39.63509134086117
5928,pratio,63.83034443464649
7055,psratio,13.787030299036758
7055,sweratio,47.696664510978614
7055,pratio,78.35689896769837
7920,psratio,14.52540965625996
7920,sweratio,50.44750221969047
7920,pratio,79.97805510667884
9024,psratio,15.364793017340215
9024,sweratio,54.44599543891418
9024,pratio,91.33785220775336
9999,psratio,16.595353099100294
9999,sweratio,59.12983920200853
9999,pratio,103.89294635665107
11024,psratio,17.490099177456653
11024,sweratio,61.81283227148258
11024,pratio,108.71063507065467
12099,psratio,18.243826720236235
12099,sweratio,65.07563297670373
12099,pratio,121.70721360417039
12995,psratio,18.588419542851156
12995,sweratio,68.13790837101782
12995,pratio,115.72152365012212
13923,psratio,19.31243368348807
13923,sweratio,69.84773339215933
13923,pratio,138.4755323565103
14883,psratio,20.630117968866653
14883,sweratio,72.04763069276304
14883,pratio,146.7483314623999
