stcov,estmethod,covparam,value
productsum,reml,s_de,98.43084855057728
productsum,reml,s_ie,0.08975731564749931
productsum,reml,t_de,0.0681456901648409
productsum,reml,t_ie,0.021693473560069735
productsum,reml,st_de,11.099330816873106
productsum,reml,st_ie,9.010463104776147
productsum,reml,s_range,1357.5293929981242
productsum,reml,t_range,3.7442719887109184
productsum,svwls,s_de,23.42599922630021
productsum,svwls,s_ie,22.565052202632852
productsum,svwls,t_de,0.2602066119199868
productsum,svwls,t_ie,2.3727771672787877e-4
productsum,svwls,st_de,8.309112006572562
productsum,svwls,st_ie,12.281284689095372
productsum,svwls,s_range,2387.282251897715
productsum,svwls,t_range,2.941667966384674
sum_with_error,reml,s_de,165.06594020615094
sum_with_error,reml,s_ie,0.2046079148592521
sum_with_error,reml,t_de,10.89555013761254
sum_with_error,reml,t_ie,0.36132905307516
sum_with_error,reml,st_ie,13.606026662563185
sum_with_error,reml,s_range,2410.288103774467
sum_with_error,reml,t_range,8.766359672246931
sum_with_error,svwls,s_de,27.634479453261434
sum_with_error,svwls,s_ie,0.02519938344091593
sum_with_error,svwls,t_de,0.00485875370094472
sum_with_error,svwls,t_ie,5.32827041709322
sum_with_error,svwls,st_ie,15.14297563085141
sum_with_error,svwls,s_range,38.097298104162626
sum_with_error,svwls,t_range,119.89067385667192
product,reml,v_s,0.3674590868547178
product,reml,v_t,0.41630990120589983
product,reml,st_de,55.93396364459762
product,reml,s_range,2637.599200888234
product,reml,t_range,118.36849447112013
product,svwls,v_s,9.110511944006454e-4
product,svwls,v_t,0.34928455705542527
product,svwls,st_de,47.88183431843415
product,svwls,s_range,39.25235897277225
product,svwls,t_range,119.89067385667192
