"","stcov","estmethod","covparam","value"
"ps_reml_covparams.s_de","productsum","reml","s_de",104.181867208987
"ps_reml_covparams.s_ie","productsum","reml","s_ie",0.161709380423146
"ps_reml_covparams.t_de","productsum","reml","t_de",0.0271822177054265
"ps_reml_covparams.t_ie","productsum","reml","t_ie",0.0679668080079088
"ps_reml_covparams.st_de","productsum","reml","st_de",11.5276037988062
"ps_reml_covparams.st_ie","productsum","reml","st_ie",9.05429239523576
"ps_reml_covparams.s_range","productsum","reml","s_range",1490.84240334396
"ps_reml_covparams.t_range","productsum","reml","t_range",3.67957587913933
"ps_svwls_covparams.s_de","productsum","svwls","s_de",26.0412256770315
"ps_svwls_covparams.s_ie","productsum","svwls","s_ie",22.4067189822125
"ps_svwls_covparams.t_de","productsum","svwls","t_de",0.00515946331102838
"ps_svwls_covparams.t_ie","productsum","svwls","t_ie",5.65803854656906
"ps_svwls_covparams.st_de","productsum","svwls","st_de",0.013584907570532
"ps_svwls_covparams.st_ie","productsum","svwls","st_ie",14.8976600960319
"ps_svwls_covparams.s_range","productsum","svwls","s_range",2637.59920088823
"ps_svwls_covparams.t_range","productsum","svwls","t_range",119.890673856672
"swe_reml_covparams.s_de","sum_with_error","reml","s_de",165.007129183195
"swe_reml_covparams.s_ie","sum_with_error","reml","s_ie",0.712236151083894
"swe_reml_covparams.t_de","sum_with_error","reml","t_de",1.29741048273331
"swe_reml_covparams.t_ie","sum_with_error","reml","t_ie",5.06448775539043
"swe_reml_covparams.st_ie","sum_with_error","reml","st_ie",13.6503203579947
"swe_reml_covparams.s_range","sum_with_error","reml","s_range",2468.18246412854
"swe_reml_covparams.t_range","sum_with_error","reml","t_range",0.971229340697964
"swe_svwls_covparams.s_de","sum_with_error","svwls","s_de",27.6304269848724
"swe_svwls_covparams.s_ie","sum_with_error","svwls","s_ie",0.0251956880680759
"swe_svwls_covparams.t_de","sum_with_error","svwls","t_de",0.00485968619355683
"swe_svwls_covparams.t_ie","sum_with_error","svwls","t_ie",5.32929301941165
"swe_svwls_covparams.st_ie","sum_with_error","svwls","st_ie",15.145649164498
"swe_svwls_covparams.s_range","sum_with_error","svwls","s_range",38.1340666883496
"swe_svwls_covparams.t_range","sum_with_error","svwls","t_range",110.182661501995
"p_reml_covparams.v_s","product","reml","v_s",0.421979117735978
"p_reml_covparams.v_t","product","reml","v_t",0.43707820108994
"p_reml_covparams.st_de","product","reml","st_de",45.8021497375158
"p_reml_covparams.s_range","product","reml","s_range",1692.80770657746
"p_reml_covparams.t_range","product","reml","t_range",118.009779899587
"p_svwls_covparams.v_s","product","svwls","v_s",0.000911051194400645
"p_svwls_covparams.v_t","product","svwls","v_t",0.349374117521333
"p_svwls_covparams.st_de","product","svwls","st_de",47.8816295419878
"p_svwls_covparams.s_range","product","svwls","s_range",39.3004233269817
"p_svwls_covparams.t_range","product","svwls","t_range",119.890673856672
