"","stcov","estmethod","beta","est","se","z"
"1","productsum","reml","beta0",78.5743689346518,7.66687098107131,10.2485576095703
"2","productsum","reml","beta1",-0.0123408615773892,0.00153922551293027,-8.01757862881023
"3","productsum","reml","beta2",0.307583708587164,0.077464047704743,3.9706640396527
"4","productsum","reml","beta3",-0.147892139249716,0.119246204503235,-1.24022512805181
"5","productsum","svwls","beta0",75.3629785724815,4.70694957124929,16.0110019093489
"6","productsum","svwls","beta1",-0.0062379979493069,0.00166654690835002,-3.74306772767824
"7","productsum","svwls","beta2",0.362089798669214,0.0499974103919854,7.24217106106874
"8","productsum","svwls","beta3",-0.209650471358384,0.129590099151546,-1.61779698241617
"9","sum_with_error","reml","beta0",76.6139318430164,10.5308421729942,7.27519514436264
"10","sum_with_error","reml","beta1",-0.0124892945174688,0.00156796814710808,-7.96527310870681
"11","sum_with_error","reml","beta2",0.361798650960613,0.0528190182825596,6.84977992254876
"12","sum_with_error","reml","beta3",-0.205722334902201,0.124127173748173,-1.65735131712228
"13","sum_with_error","svwls","beta0",73.419579316501,1.74536864401075,42.0653708707562
"14","sum_with_error","svwls","beta1",-0.00286535201355878,0.00138529157005791,-2.06841077755133
"15","sum_with_error","svwls","beta2",0.362401313604979,0.0485371968186575,7.46646566671263
"16","sum_with_error","svwls","beta3",-0.211521625932638,0.130605340640925,-1.61954805901987
"17","product","reml","beta0",76.2673720225697,3.48912791317338,21.8585772492371
"18","product","reml","beta1",-0.00720257905169123,0.00111410755249965,-6.46488665796336
"19","product","reml","beta2",0.326259433524463,0.125668083766424,2.59619963753783
"20","product","reml","beta3",-0.157359975337508,0.123571601703416,-1.27343154226638
"21","product","svwls","beta0",73.0198112316594,1.54251328856124,47.3382056239966
"22","product","svwls","beta1",-0.00289780849775353,0.00128408975777269,-2.25670244639278
"23","product","svwls","beta2",0.357520098491329,0.0406714608221746,8.79044153477773
"24","product","svwls","beta3",-0.237581506090023,0.14279793765778,-1.66376006535469
"25","ind","ols","beta0",74.0072704900798,0.551346293317642,134.23010435919
"26","ind","ols","beta1",-0.00329472180706476,0.000333626853945793,-9.8754694596619
"27","ind","ols","beta2",0.358225689679061,0.0257321776106772,13.9213126498248
"28","ind","ols","beta3",-0.916833988212339,0.223152097259673,-4.10856092983726
