"","stcov","estmethod","quantity","result"
"ps_reml_objective.value","productsum","reml","value",5379.16618001218
"ps_reml_objective.counts.function","productsum","reml","counts",200
"ps_reml_objective.convergence","productsum","reml","convergence",0
"ps_reml_objective.stempsv_seconds","productsum","reml","stemp_seconds",0
"ps_reml_objective.optim_seconds","productsum","reml","optim_seconds",34.817911863327
"chol_ps_reml_objective.value","productsum","reml_chol","value",5379.09587336792
"chol_ps_reml_objective.counts.function","productsum","reml_chol","counts",200
"chol_ps_reml_objective.convergence","productsum","reml_chol","convergence",0
"chol_ps_reml_objective.stempsv_seconds","productsum","reml_chol","stemp_seconds",0
"chol_ps_reml_objective.optim_seconds","productsum","reml_chol","optim_seconds",102.007686138153
"ps_svwls_objective.value","productsum","svwls","value",7680.75715616462
"ps_svwls_objective.counts.function","productsum","svwls","counts",2879
"ps_svwls_objective.convergence","productsum","svwls","convergence",0
"ps_svwls_objective.stempsv_seconds","productsum","svwls","stemp_seconds",3.98976119359334
"ps_svwls_objective.optim_seconds","productsum","svwls","optim_seconds",0.523682117462158
"swe_reml_objective.value","sum_with_error","reml","value",5513.26717976458
"swe_reml_objective.counts.function","sum_with_error","reml","counts",107
"swe_reml_objective.convergence","sum_with_error","reml","convergence",0
"swe_reml_objective.stempsv_seconds","sum_with_error","reml","stemp_seconds",0
"swe_reml_objective.optim_seconds","sum_with_error","reml","optim_seconds",9.88147592544556
"chol_swe_reml_objective.value","sum_with_error","reml_chol","value",5513.23261924142
"chol_swe_reml_objective.counts.function","sum_with_error","reml_chol","counts",107
"chol_swe_reml_objective.convergence","sum_with_error","reml_chol","convergence",0
"chol_swe_reml_objective.stempsv_seconds","sum_with_error","reml_chol","stemp_seconds",0
"chol_swe_reml_objective.optim_seconds","sum_with_error","reml_chol","optim_seconds",55.0200979709625
"swe_svwls_objective.value","sum_with_error","svwls","value",7966.10284214337
"swe_svwls_objective.counts.function","sum_with_error","svwls","counts",782
"swe_svwls_objective.convergence","sum_with_error","svwls","convergence",0
"swe_svwls_objective.stempsv_seconds","sum_with_error","svwls","stemp_seconds",3.98976119359334
"swe_svwls_objective.optim_seconds","sum_with_error","svwls","optim_seconds",0.147917032241821
"p_reml_objective.value","product","reml","value",5481.16789046017
"p_reml_objective.counts.function","product","reml","counts",83
"p_reml_objective.convergence","product","reml","convergence",0
"p_reml_objective.stempsv_seconds","product","reml","stemp_seconds",0
"p_reml_objective.optim_seconds","product","reml","optim_seconds",6.36544799804688
"chol_p_reml_objective.value","product","reml_chol","value",5481.16187452171
"chol_p_reml_objective.counts.function","product","reml_chol","counts",83
"chol_p_reml_objective.convergence","product","reml_chol","convergence",0
"chol_p_reml_objective.stempsv_seconds","product","reml_chol","stemp_seconds",0
"chol_p_reml_objective.optim_seconds","product","reml_chol","optim_seconds",42.6530718803406
"p_svwls_objective.value","product","svwls","value",8252.82541808652
"p_svwls_objective.counts.function","product","svwls","counts",332
"p_svwls_objective.convergence","product","svwls","convergence",0
"p_svwls_objective.stempsv_seconds","product","svwls","stemp_seconds",3.98976119359334
"p_svwls_objective.optim_seconds","product","svwls","optim_seconds",0.0669631958007812
