"","stcov","estmethod","covparam","lowq","q1","median_result","mean_result","q3","highq"
"1","productsum","reml","s_de",4.33079314012325,5.80359515620693,7.26936048318143,7.38266014417349,8.89348000771371,10.3619624469267
"2","sum_with_error","reml","s_de",7.35398401909546,9.2505480186028,11.3711662721811,11.9218812160443,13.6815229569967,16.2248017275228
"3","productsum","svwls","s_de",0.00632687222312042,0.367444856863319,3.55497128156716,6.81954922893567,9.03826828615329,15.8967852618072
"4","sum_with_error","svwls","s_de",6.14059848553793,9.9028668306945,14.688768123762,19.8860283345767,23.5567464820887,42.7139845229367
"5","productsum","reml","s_ie",1.01920005796418,1.41173642225843,1.78885950782558,1.86549121332913,2.22170237178337,2.7727090352432
"6","sum_with_error","reml","s_ie",1.93028075387182,2.75388174559492,3.43656858869997,3.45231844923537,4.08433910209722,4.89687686602962
"7","productsum","svwls","s_ie",0.00401505092692652,0.0903462747207926,1.41872306321942,2.17268504997664,3.60828650198521,5.59583185258421
"8","sum_with_error","svwls","s_ie",0.0151344423170982,0.132945657411043,2.38445057541574,2.90846864103612,4.75882996720404,6.7973990610542
"9","product","reml","s_range",2.62699435847023,3.34662486070162,4.0122275577922,3.82507438396774,4.43187377828979,4.73722771108156
"10","productsum","reml","s_range",0.477373764141253,0.574621294747178,0.715485482560165,0.720547878444508,0.84463386459091,0.958145573811905
"11","sum_with_error","reml","s_range",0.904573348813942,1.08673090888994,1.27712056778421,1.33286371661351,1.47832752657838,1.75072303666201
"12","product","svwls","s_range",0.492117550846645,1.03317961692013,2.29334961342776,2.50969518886641,4.16640840543993,4.76347681272673
"13","productsum","svwls","s_range",0.224193272704727,0.377885645060385,0.683769196268998,1.25909045155052,1.57391028187326,3.83470244113489
"14","sum_with_error","svwls","s_range",0.254795404772031,0.431545639371237,0.959619323654585,1.74184331725997,3.1508034978685,4.52686486350315
"15","product","reml","st_de",17.8556328114508,20.2376202511654,23.4050674656871,25.872890230747,29.8525494302731,37.2243002495436
"16","productsum","reml","st_de",8.12248255974823,9.31946843342249,10.727459811081,10.9863255747446,12.2513105841088,14.0173685093669
"17","product","svwls","st_de",20.830463516413,25.0062977166612,30.8049203553804,33.517355344513,38.5703941594553,49.7505764059002
"18","productsum","svwls","st_de",4.28762070832699,6.64566264481031,11.0262711775572,14.3735959994087,17.4107555708306,28.2589610121212
"19","productsum","reml","st_ie",1.42147370746523,1.64298446501765,1.87279955255622,1.85074977279724,2.0684003562438,2.24003279851619
"20","sum_with_error","reml","st_ie",4.93912503712335,5.57328526321171,6.24880340889484,6.35392746080466,7.08514221882559,7.87219089847492
"21","productsum","svwls","st_ie",0.818861234796357,1.63254850159464,2.34611083968025,2.44280505620973,3.13618313624156,4.06906735061854
"22","sum_with_error","svwls","st_ie",2.47114526695158,3.29900605009478,4.1739721860729,4.1144685973756,5.00500346292133,5.7208638681844
"23","productsum","reml","t_de",4.43226594353841,5.70662792249311,7.22527803687687,7.5631516266164,8.97627706748764,10.8949560360489
"24","sum_with_error","reml","t_de",4.81454094706635,6.10189365249896,7.63728206418647,8.47195586831187,9.41794063891329,12.0688731232375
"25","productsum","svwls","t_de",0.00383752435955293,0.406104068344643,3.98410126622561,8.53277009840168,10.3402502340563,20.4879074496193
"26","sum_with_error","svwls","t_de",3.81647126311742,6.61465690731442,12.1459404172872,19.3726148254314,24.357422790697,44.7706357836131
"27","productsum","reml","t_ie",1.14019938321327,1.42567677170868,1.78082296569719,1.85665631417106,2.19962328547635,2.65290100741704
"28","sum_with_error","reml","t_ie",1.04205933153574,1.40677891463337,1.84519122568612,1.89254696711732,2.29607490042388,2.74474238465466
"29","productsum","svwls","t_ie",0.0218337511237498,0.536721969053912,1.76189471927611,1.7656051084202,2.71003553886976,3.54098132442993
"30","sum_with_error","svwls","t_ie",0.0452432291501523,0.541582724056804,1.46213006583319,1.60838237185405,2.42465860798052,3.24864109594183
"31","product","reml","t_range",0.497562402338462,0.515284656176718,0.574106123019727,0.85763687274275,1.15327699158335,1.53237091298466
"32","productsum","reml","t_range",0.471416930778582,0.490056907709509,0.503181555760601,0.525849094000413,0.525311300155331,0.629891999726805
"33","sum_with_error","reml","t_range",0.413933290219401,0.486826342027868,0.563959002932402,0.635715848819541,0.713506695527408,0.876185082621334
"34","product","svwls","t_range",0.426407140065509,0.620039490362251,0.860212396935648,1.08522765171071,1.21791665198888,2.00540795366858
"35","productsum","svwls","t_range",0.296845052641547,0.405037453011124,0.566572032328152,0.879794231699657,1.00281059399219,1.89791813193111
"36","sum_with_error","svwls","t_range",0.284538347260944,0.379616723066924,0.479023317078938,1.07374790044729,1.38647711597347,3.01082860858701
"37","product","reml","v_s",0.334497843485382,0.376136568146314,0.422786352947021,0.422389476458568,0.469924803662864,0.511180585766295
"38","product","svwls","v_s",0.000911051194400645,0.056020203842978,0.153368835577892,0.1855328816422,0.27910263328042,0.400316674553059
"39","product","reml","v_t",0.0937996214426219,0.114553722139022,0.140745546177005,0.141492694420047,0.166519202955042,0.190497901345233
"40","product","svwls","v_t",0.0534207826847794,0.0834423121122829,0.123876108106039,0.136444585285811,0.179086411737375,0.233170913744968
